question,answer
"點樣預約?","你可以透過網站(skinbeam.hk/en)預約，或者如果你喺網上預約有困難，可以直接聯絡診所預約。"
"我可唔可以唔預約直接去?","可以，大部分服務都可以walk-in（即係唔使預約直接去）。不過建議你最少喺關門前1小時到達。部分療程如Thermage、Ultherapy、Emsculpt同Micool就建議預約先。"
"可唔可以改時間或者取消預約?","可以，你可以隨時更改預約時間，亦可以取消預約。如果你要取消，我哋會感謝你提前通知。"
"接受咩付款方式?","我哋接受多種付款方式：信用卡、Apple Pay、Payme、FPS、支付寶、微信支付同埋現金。你亦可以透過發送畀你嘅連結進行網上付款。"
"療程後恢復時間有幾長?","喺Skin&Beam HK嘅大部分療程都有最短嘅恢復期，通常係2-3日。"
"可唔可以組合唔同療程?","可以，大部分療程都可以同時進行或者喺短時間內進行。你可以喺一次診症中接受多種療程。"
"邊個會進行注射療程?","所有注射類療程都由醫生進行。手部Rejuran注射同Derma Shine只能由醫生進行。"
"我可以用咩方式付款?","喺診所，你可以用信用卡、Apple Pay、Payme、FPS、支付寶、微信支付或者現金。網上付款可以用信用卡、Apple Pay、Payme或者FPS。"
"如果我懷孕點算?","喺懷孕期間，大部分美容療程都唔建議進行。懷孕時間唔會計入服務有效期，你可以喺產後使用服務。"
"可唔可以退款?","基本上唔可以退款（服務有效期係365日）。我哋提供替代方案，例如轉讓畀朋友或家人、轉換成其他服務，或者延長有效期。"
"診所用咩語言?","我哋提供多種語言服務，包括中文（廣東話）、英文同越南文。"
"Contour Injection嘅成分係咩?","Contour Injection係Skin&Beam自行研發嘅產品，基於專有技術。因為商業原因唔能夠透露成分，但保證安全，唔含類固醇。"
"Botox或者填充劑有冇重做政策?","如果客人覺得Botox或填充劑冇效果，我哋唔提供免費重做。通常建議觀察大約2星期，如果唔係嚴重問題，補充療程會另外收費。"
"Skin&Beam有冇提供溶解填充劑嘅服務?","Skin&Beam HK唔提供透明質酸酶（即係溶解填充劑）服務。如果你喺其他診所注射嘅填充劑有問題，應該返去原本嘅診所處理。"
"有冇禮券?","我哋而家冇正式嘅禮券。不過，客人可以直接購買療程送畀其他人。"
"有冇推薦朋友嘅獎賞計劃?","而家冇正式嘅推薦獎賞計劃。"
"唔同HIFU嘅分別係咩?","Shurink嘅能量較強，提拉效果更集中，價格較高（$580/300發）。EcoLift嘅方法較溫和，有line/pen模式選擇，價格較低（$480/300發）。"
"正在使用Isotretinoin可唔可以做療程?","喺Skin&Beam HK，冇特別禁忌療程畀正在使用isotretinoin嘅病人。不過應該小心激光療程、強力去角質同埋皮膚再生療程。"
"邊間分店最近?","我哋有3間分店：銅鑼灣（CWB）、尖沙咀（TST）同旺角（MK）。你可以揀最方便嘅分店。"
