question,answer
"클리닉 위치는 어디인가요?","서울시 강남구 강남대로 452, 대연빌딩 2~5층(본관), 서울시 강남구 강남대로 458, 남영빌딩 5층(별관)"
"영업시간이 어떻게 되나요?","평일(월-금): 11:00 AM - 9:00 PM, 토요일: 11:00 AM - 5:00 PM, 일요일: 휴무"
"워크인 방문이 가능한가요?","네, 평일에는 영업 종료 1시간 전까지, 토요일에는 최소 3:00 PM(종료 2시간 전)까지 방문하시면 당일 상담 및 시술이 가능합니다."
"예약은 어떻게 하나요?","공식 홈페이지(https://gangnam.museclinic.co.kr/en)를 통해 예약 가능합니다."
"예약 확인 메일을 받지 못했는데 방문해도 되나요?","네, 예약 메일을 받지 못하셨더라도 예약하신 시간에 방문하시면 됩니다."
"예약 시간을 변경하고 싶어요.","당일 시간 변경이 필요하신 경우, 변경하고 싶은 시간에 방문하시면 됩니다. 이메일로 재확인하실 필요는 없습니다."
"예약을 취소하고 싶어요.","예약 취소는 알려주시기만 하면 되며, 이메일 확인은 필요하지 않습니다."
"홈페이지에서 예약이 안 돼요.","웹사이트 문제로 예약이 안 되는 경우에도, 원하는 시간으로 예약 확정 가능합니다."
"두 명 이상 예약하고 싶어요.","한 명만 예약하시고 같이 방문하셔도 됩니다."
"현금 결제가 가능한가요?","네, 현금과 신용카드 결제 모두 가능합니다."
"애플페이 사용이 가능한가요?","죄송합니다. 애플페이는 이용이 불가합니다."
"할부 결제가 가능한가요?","할부는 고객님의 카드사 정책에 따릅니다."
"가격에 부가세가 포함되어 있나요?","모든 가격은 VAT 10% 별도입니다."
"여권이나 신분증이 필요한가요?","여권이나 신분증 없이도 클리닉 방문 및 모든 치료 가능합니다. 다만, 세금 환급 영수증(tax refund receipt)이 필요한 경우에만 여권 지참이 필수입니다."
"피부톤 개선에 좋은 시술은 무엇인가요?","피코슈어/피코플러스 토닝,, 큐어젯 필메드를 추천드립니다."
"모공 개선에 좋은 시술은 무엇인가요?","포텐자, 프락셀, 큐어젯, 리즈네 시술을 추천드립니다. 다만, 수회 반복이 필요합니다."
"피부 흉터 개선에 좋은 시술은 무엇인가요?","시크릿, 프락셀, 포텐자, 리쥬란 시술을 추천드립니다. 다만, 수회 반복이 필요합니다."
"홍조/붉은기 개선에 좋은 시술은 무엇인가요?","Cynergy 레이저, LDM 시술을 추천드립니다."
"여드름 흉터 개선에 좋은 시술은 무엇인가요?","포텐자, 프락셀, 시크릿, 리쥬란 시술을 추천드립니다. 다만, 수회 반복이 필요합니다."
"색소침착/다크스팟 개선에 좋은 시술은 무엇인가요?","피코토닝, Cynergy 레이저를 추천드립니다. 다만, 완전 해결은 어려우며 수회 반복이 필요합니다."
"여드름 개선에 좋은 시술은 무엇인가요?","피코슈어/피코플러스, 아쿠아 필링, 블랙필, 라라필 시술을 추천드립니다."
"두 개 이상의 시술을 함께 받을 수 있나요?","네, 대부분의 치료는 동시에 혹은 짧은 간격으로 함께 받을 수 있습니다."
"이소트레티노인(여드름 치료제) 복용 중에도 시술이 가능한가요?","네, 이소트레티노인 복용 중에도 모든 시술이 가능합니다."
"스레드 리프팅과 다른 시술을 함께 받을 수 있나요?","네, 스레드 리프팅 + 울쎄라/써머지/마세터 보톡스 병행이 가능합니다."
"시술 후 회복 기간은 얼마나 되나요?","대부분 다운타임은 2-3일 이내입니다."
"시술 후 주의해야 할 점은 무엇인가요?","시술 후 수분공급, 충분한 수면, 금주, 자외선차단이 필요합니다."
"보톡스나 필러 시술 후 효과가 없으면 무료 재시술이 가능한가요?","보톡스나 필러 시술 후 효과가 없다고 무료 재시술은 제공하지 않습니다. 2주 정도 경과관찰을 권고드립니다."
"필러 녹이는 서비스도 제공하나요?","우리 클리닉에서 시술한 필러에 한해서만 필러 녹이는 서비스 제공이 가능합니다. 다만, 권장하지는 않습니다."
"임신 중에도 시술이 가능한가요?","임신 중인 고객에게는 미용 시술이나 스킨케어 치료를 추천하지 않습니다."
"심장질환이 있는데 시술이 가능한가요?","고위험 심장질환, 면역력 저하 환자의 경우 시술이 제한될 수 있습니다."
"언더아이 필러 시술도 가능한가요?","언더아이 필러 시술은 제공하지 않습니다."
"타투 제거 시술도 가능한가요?","타투 제거 시술은 제공하지 않습니다."
"몰 리무벌(점 제거)도 가능한가요?","몰 리무벌(점 제거)은 제공하지 않습니다."
"바디 트리트먼트(체스트 등)도 가능한가요?","바디 트리트먼트(체스트 등)는 일반적으로 제공하지 않습니다."
"피코레이저를 몸에 사용할 수 있나요?","피코레이저 등은 얼굴 전용이며, 몸 부위에는 적용하지 않습니다."
"실 리프팅은 어떤 부위에 가능한가요?","실 리프팅은 나솔라비얼 폴드(팔자주름)와 턱라인(Jawline) 부위만 시술 가능합니다."
"필러 주사는 어떤 부위에 가능한가요?","필러 주사는 볼(Cheek), 입술(Lip), 턱(Chin) 부위만 시술 가능합니다. 다른 부위(언더아이 등)는 시술하지 않습니다."
