intent,description,examples
reservation_inquiry,"예약에 관한 문의","예약하고 싶어요,예약은 어떻게 하나요?,예약 가능한가요?,예약 방법 알려주세요,예약하려면 어떻게 해야 하나요?"
walk_in_inquiry,"워크인 방문에 관한 문의","워크인 가능한가요?,예약 없이 방문해도 될까요?,당일 방문 가능한가요?,예약 없이 가도 되나요?,현장 방문도 가능한가요?"
other_inquiry,"기타 일반적인 문의","궁금한 것이 있어요,질문이 있어요,정보가 필요해요,도움이 필요해요,뮤즈클리닉에 대해 알고 싶어요"
provide_reservation_info,"예약에 필요한 정보 제공","제 이름은 [이름]이고 [날짜] [시간]에 예약하고 싶어요,예약 정보는 [정보]입니다,[날짜]에 [시간]으로 예약 가능할까요?,예약 가능한 시간을 알고 싶어요,언제 갈 수 있을까요?"
website_issues,"웹사이트 예약 시스템 문제 보고","웹사이트에서 예약이 안 돼요,예약 페이지가 오류가 나요,온라인 예약이 불가능해요,예약 시스템에 문제가 있는 것 같아요,홈페이지에서 예약 버튼이 작동하지 않아요"
ask_about_treatments,"시술에 관한 문의","어떤 시술이 있나요?,시술 종류가 궁금해요,어떤 치료를 받을 수 있나요?,시술 정보를 알려주세요,서비스 목록을 알고 싶어요"
confirm_understanding,"이해했음을 확인","알겠습니다,네 이해했어요,고마워요,감사합니다,확인했습니다"
reservation_change,"예약 변경 요청","예약 시간을 바꾸고 싶어요,다른 날로 예약을 변경할 수 있을까요?,예약 날짜 변경 가능한가요?,시간을 바꿀 수 있을까요?,예약을 미루고 싶어요"
reservation_cancel,"예약 취소 요청","예약을 취소하고 싶어요,예약 취소 가능한가요?,예약을 못 지킬 것 같아요,약속을 취소해야겠어요,예약 취소 절차가 궁금해요"
new_reservation,"새로운 예약 요청","새로 예약하고 싶어요,다시 예약할게요,다른 날짜로 예약할게요,새 예약 가능한가요?,다시 방문 예약을 잡고 싶어요"
specific_treatment_inquiry,"특정 시술에 관한 문의","울쎄라는 어떤 시술인가요?,보톡스 시술에 대해 알려주세요,리프팅 효과가 좋은 시술이 궁금해요,필러는 어떤 효과가 있나요?,미세침 시술은 어떻게 진행되나요?"
price_inquiry,"가격에 관한 문의","가격이 얼마인가요?,시술 비용이 궁금해요,얼마예요?,비용은 어떻게 되나요?,가격표를 볼 수 있을까요?"
promotion_inquiry,"프로모션에 관한 문의","지금 이벤트 있나요?,할인 행사 중인가요?,프로모션 정보를 알려주세요,특별 패키지가 있나요?,할인 혜택이 있나요?"
location_inquiry,"위치에 관한 문의","위치가 어디인가요?,주소가 어떻게 되나요?,어떻게 가나요?,찾아가는 방법 좀 알려주세요,지하철로 어떻게 가나요?"
operating_hours_inquiry,"운영 시간에 관한 문의","영업시간이 어떻게 되나요?,몇 시까지 열려있나요?,주말에도 열려있나요?,언제 방문할 수 있나요?,몇 시부터 몇 시까지 영업하나요?"
end_conversation,"대화 종료","감사합니다,네 알겠습니다,다음에 또 올게요,이만 끊을게요,안녕히계세요"
new_inquiry,"새로운 문의","또 다른 질문이 있어요,하나 더 물어봐도 될까요?,추가 문의가 있어요,궁금한 게 더 있어요,다른 질문도 있어요"
treatment_inquiry,"시술 일반 문의","어떤 시술들이 있나요?,시술에 대해 설명해주세요,가장 인기있는 시술은 무엇인가요?,어떤 치료가 가능한가요?,시술 종류가 알고 싶어요"
influencer_collab,"인플루언서 협업 요청","인플루언서 협업을 제안하고 싶어요,마케팅 제휴 가능한가요?,홍보 모델로 일하고 싶어요,SNS 홍보를 위한 협업 제안드려요,인플루언서 마케팅 문의드려요"
refund_policy,"환불 정책 문의","환불 정책이 어떻게 되나요?,시술 후 불만족할 경우 환불 가능한가요?,결제 취소는 어떻게 하나요?,환불 절차가 궁금해요,결제 후 취소할 수 있나요?"
allergy_inquiry,"알레르기 관련 문의","알레르기가 있는데 시술 가능한가요?,피부 민감성이 있는데 괜찮을까요?,특정 성분에 알레르기가 있어요,피부 질환이 있는데 시술 받아도 될까요?,알레르기 반응이 걱정돼요"
holiday_hours,"공휴일 영업시간 문의","공휴일에도 영업하나요?,명절에도 열려있나요?,휴일 영업시간이 어떻게 되나요?,연휴 기간에도 예약 가능한가요?,공휴일 운영 여부가 궁금해요"
receipt_request,"영수증 발급 요청","영수증 발급 가능한가요?,세금계산서 발행해 주세요,영수증을 받고 싶어요,증빙서류가 필요해요,세금 환급 영수증을 발급받을 수 있나요?"
unsupported_service,"제공하지 않는 서비스 문의","언더아이 필러 가능한가요?,타투 제거도 해주나요?,점 제거도 가능한가요?,바디 트리트먼트도 하나요?,Nd:YAG 레이저 시술도 제공하나요?"
pregnancy_inquiry,"임신 중 시술 가능 여부 문의","임신 중인데 시술 받아도 되나요?,임신 초기에 피부 관리 받을 수 있나요?,임산부도 시술 가능한가요?,임신 중 안전한 시술이 있나요?,임신했는데 보톡스 맞아도 될까요?"
after_hours_inquiry,"영업시간 외 방문 문의","영업시간 이후에도 방문 가능한가요?,밤 늦게 방문할 수 있나요?,영업시간 외 예약이 가능한가요?,마감 이후에도 치료받을 수 있나요?,일찍 오픈하나요?"
skin_tone,"피부톤 개선 문의","피부톤을 밝게 하고 싶어요,피부가 칙칙한데 개선하고 싶어요,미백 효과가 좋은 시술 알려주세요,피부 톤을 개선하고 싶어요,얼굴이 어두워요"
texture_pores,"모공/텍스처 개선 문의","모공이 넓어요,피부결이 거친데 개선할 방법이 있나요?,각질이 많이 일어나요,피부 텍스처를 개선하고 싶어요,피부가 울퉁불퉁해요"
scars,"흉터 개선 문의","흉터를 개선하고 싶어요,상처 자국이 있어요,흉터 치료가 가능한가요?,얼굴에 상처 자국을 없애고 싶어요,흉터 제거 시술이 궁금해요"
redness,"홍조/붉은기 개선 문의","얼굴이 자주 빨개져요,홍조가 심해요,혈관이 비쳐 보여요,얼굴이 항상 붉은 편이에요,홍조 개선 방법이 있나요?"
acne_scars,"여드름 흉터 개선 문의","여드름 흉터를 없애고 싶어요,여드름 자국이 많아요,여드름 후 움푹 패인 자국이 있어요,여드름 흉터 치료법이 궁금해요,여드름 자국 개선 방법 알려주세요"
pigmentation,"색소침착/다크스팟 개선 문의","색소침착이 있어요,다크스팟을 없애고 싶어요,기미가 있어요,잡티가 많아요,검은 반점을 개선하고 싶어요"
